"sample","campaignid","direction","broad.ascidians","broad.black.octocorals","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.matrix","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated","broad.total.points.annotated","latitude","longitude","date","site","location","successful.count"
"11","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,6,0,0,13,0,0,0,19,-33.5567,115.3683,"20210304",NA,"Geographe",""
"11","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,8,0,0,12,0,0,0,20,-33.5567,115.3683,"20210304",NA,"Geographe",""
"11","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,7,0,0,13,0,0,0,20,-33.5567,115.3683,"20210304",NA,"Geographe",""
"11","2021-03_West-Coast_BOSS","E",0,0,0,7,0,0,0,0,0,0,0,0,13,20,-34.1163,114.775,"20210310",NA,"South-west Corner","Yes"
"11","2021-03_West-Coast_BOSS","N",0,1,0,6,0,5,0,0,1,0,2,0,6,20,-34.1163,114.775,"20210310",NA,"South-west Corner","Yes"
"11","2021-03_West-Coast_BOSS","S",0,0,0,2,0,0,0,0,0,0,0,0,16,18,-34.1163,114.775,"20210310",NA,"South-west Corner","Yes"
"11","2021-03_West-Coast_BOSS","W",0,0,0,4,0,0,0,0,0,0,0,0,1,5,-34.1163,114.775,"20210310",NA,"South-west Corner","Yes"
"110","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,5,0,0,15,0,0,0,20,-33.4769,115.4199,"20210305",NA,"Geographe",""
"110","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,17,0,0,0,0,0,2,19,-33.4769,115.4199,"20210305",NA,"Geographe",""
"110","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,9,0,0,11,0,0,0,20,-33.4769,115.4199,"20210305",NA,"Geographe",""
"110","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,13,0,0,4,1,0,3,21,-33.4769,115.4199,"20210305",NA,"Geographe",""
"110","2021-03_West-Coast_BOSS","E",0,0,0,1,0,0,10,0,0,1,1,0,6,19,-34.0505,114.907,"20210308",NA,"South-west Corner","Yes"
"110","2021-03_West-Coast_BOSS","N",0,0,0,1,0,0,6,0,0,10,0,0,2,19,-34.0505,114.907,"20210308",NA,"South-west Corner","Yes"
"110","2021-03_West-Coast_BOSS","S",0,0,0,2,0,0,13,0,0,4,0,0,0,19,-34.0505,114.907,"20210308",NA,"South-west Corner","Yes"
"110","2021-03_West-Coast_BOSS","W",0,0,0,0,0,0,2,0,0,18,0,0,0,20,-34.0505,114.907,"20210308",NA,"South-west Corner","Yes"
"111","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,5,0,0,7,0,0,8,20,-33.5798,115.2917,"20210303",NA,"Geographe",""
"111","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,2,0,0,18,0,0,0,20,-33.5798,115.2917,"20210303",NA,"Geographe",""
"111","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,0,0,0,9,0,0,12,21,-33.5798,115.2917,"20210303",NA,"Geographe",""
"111","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,0,0,0,14,0,0,6,20,-33.5798,115.2917,"20210303",NA,"Geographe",""
"111","2021-03_West-Coast_BOSS","E",0,0,0,0,0,0,18,0,0,0,1,0,1,20,-34.1035,114.812,"20210311",NA,"South-west Corner","Yes"
"111","2021-03_West-Coast_BOSS","N",0,0,0,2,0,0,17,0,0,0,0,0,0,19,-34.1035,114.812,"20210311",NA,"South-west Corner","Yes"
"111","2021-03_West-Coast_BOSS","S",0,0,0,9,0,0,7,0,0,0,0,0,4,20,-34.1035,114.812,"20210311",NA,"South-west Corner","Yes"
"111","2021-03_West-Coast_BOSS","W",0,0,0,4,0,0,13,0,0,3,0,0,0,20,-34.1035,114.812,"20210311",NA,"South-west Corner","Yes"
"112","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,2,0,0,18,0,0,0,20,-33.5674,115.3109,"20210303",NA,"Geographe",""
"112","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,4,0,0,9,2,0,0,15,-33.5674,115.3109,"20210303",NA,"Geographe",""
"112","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,3,0,0,17,0,0,0,20,-33.5674,115.3109,"20210303",NA,"Geographe",""
"112","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,7,0,0,7,3,0,0,17,-33.5674,115.3109,"20210303",NA,"Geographe",""
"112","2021-03_West-Coast_BOSS","E",0,0,0,15,0,0,3,0,0,0,0,0,2,20,-34.0897,114.779,"20210310",NA,"South-west Corner","Yes"
"112","2021-03_West-Coast_BOSS","N",0,0,0,12,0,1,1,0,0,0,2,0,4,20,-34.0897,114.779,"20210310",NA,"South-west Corner","Yes"
"112","2021-03_West-Coast_BOSS","S",0,0,0,4,0,0,13,0,0,0,2,0,0,19,-34.0897,114.779,"20210310",NA,"South-west Corner","Yes"
"112","2021-03_West-Coast_BOSS","W",0,0,0,13,1,0,3,0,0,0,0,0,3,20,-34.0897,114.779,"20210310",NA,"South-west Corner","Yes"
"113","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,15,0,0,2,2,0,0,19,-33.5025,115.4384,"20210305",NA,"Geographe",""
"113","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,7,0,0,12,0,0,1,20,-33.5025,115.4384,"20210305",NA,"Geographe",""
"113","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,5,0,0,14,0,0,1,20,-33.5025,115.4384,"20210305",NA,"Geographe",""
"113","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,5,0,0,15,0,0,0,20,-33.5025,115.4384,"20210305",NA,"Geographe",""
"113","2021-03_West-Coast_BOSS","E",0,0,1,0,0,0,4,0,0,0,1,0,14,20,-34.0809,114.78,"20210310",NA,"South-west Corner","Yes"
"113","2021-03_West-Coast_BOSS","N",0,0,0,1,0,0,0,0,0,0,1,0,18,20,-34.0809,114.78,"20210310",NA,"South-west Corner","Yes"
"113","2021-03_West-Coast_BOSS","S",0,1,0,2,0,0,2,0,1,0,0,0,15,20,-34.0809,114.78,"20210310",NA,"South-west Corner","Yes"
"113","2021-03_West-Coast_BOSS","W",0,0,0,0,0,0,0,0,0,0,0,0,19,19,-34.0809,114.78,"20210310",NA,"South-west Corner","Yes"
"114","2021-03_West-Coast_BOSS","E",0,0,0,2,0,0,12,0,0,4,0,0,0,18,-34.0969,114.834,"20210309",NA,"South-west Corner","Yes"
"114","2021-03_West-Coast_BOSS","N",0,0,0,0,0,0,8,0,0,11,0,0,1,20,-34.0969,114.834,"20210309",NA,"South-west Corner","Yes"
"114","2021-03_West-Coast_BOSS","S",0,0,0,4,0,0,14,0,0,1,1,0,0,20,-34.0969,114.834,"20210309",NA,"South-west Corner","Yes"
"114","2021-03_West-Coast_BOSS","W",0,0,0,1,0,0,11,0,0,8,0,0,0,20,-34.0969,114.834,"20210309",NA,"South-west Corner","Yes"
"115","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,0,0,0,7,0,0,12,19,-33.5467,115.1977,"20210303",NA,"Geographe","Y"
"115","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,1,0,0,6,0,0,14,21,-33.5467,115.1977,"20210303",NA,"Geographe","Y"
"115","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,0,0,0,0,0,0,20,20,-33.5467,115.1977,"20210303",NA,"Geographe","Y"
"115","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,1,0,0,0,0,0,19,20,-33.5467,115.1977,"20210303",NA,"Geographe","Y"
"115","2021-03_West-Coast_BOSS","E",0,0,0,5,1,0,0,0,0,0,9,0,5,20,-34.1013,114.774,"20210310",NA,"South-west Corner","Yes"
"115","2021-03_West-Coast_BOSS","N",0,1,0,0,1,0,1,0,1,0,8,0,9,20,-34.1013,114.774,"20210310",NA,"South-west Corner","Yes"
"115","2021-03_West-Coast_BOSS","S",0,0,0,4,0,0,0,0,0,0,11,0,5,20,-34.1013,114.774,"20210310",NA,"South-west Corner","Yes"
"115","2021-03_West-Coast_BOSS","W",0,0,0,2,0,0,0,0,0,0,16,0,1,19,-34.1013,114.774,"20210310",NA,"South-west Corner","Yes"
"116","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,2,0,0,10,0,0,8,20,-33.576,115.3534,"20210304",NA,"Geographe",""
"116","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,1,0,0,11,0,0,7,19,-33.576,115.3534,"20210304",NA,"Geographe",""
"116","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,0,0,0,20,0,0,0,20,-33.576,115.3534,"20210304",NA,"Geographe",""
"116","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,1,0,0,11,0,0,9,21,-33.576,115.3534,"20210304",NA,"Geographe",""
"116","2021-03_West-Coast_BOSS","E",0,0,0,1,0,0,17,0,0,0,0,0,1,19,-34.1138,114.919,"20210308",NA,"South-west Corner","Yes"
"116","2021-03_West-Coast_BOSS","N",0,0,0,2,0,0,13,0,0,1,0,0,4,20,-34.1138,114.919,"20210308",NA,"South-west Corner","Yes"
"116","2021-03_West-Coast_BOSS","S",0,0,0,1,0,0,16,0,0,0,1,0,2,20,-34.1138,114.919,"20210308",NA,"South-west Corner","Yes"
"116","2021-03_West-Coast_BOSS","W",0,0,0,0,0,0,15,0,0,0,0,0,5,20,-34.1138,114.919,"20210308",NA,"South-west Corner","Yes"
"117","2021-03_West-Coast_BOSS","E",0,0,0,0,0,7,0,0,0,0,3,0,8,18,-34.0681,114.76,"20210310",NA,"South-west Corner","Yes"
"117","2021-03_West-Coast_BOSS","N",0,0,0,0,0,6,0,0,0,0,5,0,9,20,-34.0681,114.76,"20210310",NA,"South-west Corner","Yes"
"117","2021-03_West-Coast_BOSS","S",0,0,0,0,0,7,0,0,0,0,9,0,2,18,-34.0681,114.76,"20210310",NA,"South-west Corner","Yes"
"117","2021-03_West-Coast_BOSS","W",0,0,0,0,0,0,0,0,0,0,0,0,20,20,-34.0681,114.76,"20210310",NA,"South-west Corner","Yes"
"118","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,0,0,0,1,0,0,19,20,-33.5713,115.2398,"20210303",NA,"Geographe","Y"
"118","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,0,0,0,1,0,0,19,20,-33.5713,115.2398,"20210303",NA,"Geographe","Y"
"118","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,0,0,0,0,0,0,20,20,-33.5713,115.2398,"20210303",NA,"Geographe","Y"
"118","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,0,0,0,1,0,0,19,20,-33.5713,115.2398,"20210303",NA,"Geographe","Y"
"118","2021-03_West-Coast_BOSS","E",0,0,0,3,0,0,14,0,0,2,0,0,1,20,-34.0714,114.826,"20210309",NA,"South-west Corner","Yes"
"118","2021-03_West-Coast_BOSS","N",0,0,0,5,0,0,13,0,0,0,0,0,1,19,-34.0714,114.826,"20210309",NA,"South-west Corner","Yes"
"118","2021-03_West-Coast_BOSS","S",0,0,0,2,0,0,15,0,0,0,1,0,2,20,-34.0714,114.826,"20210309",NA,"South-west Corner","Yes"
"118","2021-03_West-Coast_BOSS","W",0,0,0,1,0,0,18,0,0,0,0,0,1,20,-34.0714,114.826,"20210309",NA,"South-west Corner","Yes"
"119","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,16,0,0,4,0,0,0,20,-33.4885,115.4434,"20210305",NA,"Geographe",""
"119","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,16,0,0,3,0,0,1,20,-33.4885,115.4434,"20210305",NA,"Geographe",""
"119","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,8,0,0,9,0,0,3,20,-33.4885,115.4434,"20210305",NA,"Geographe",""
"119","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,10,0,0,6,0,0,4,20,-33.4885,115.4434,"20210305",NA,"Geographe",""
"119","2021-03_West-Coast_BOSS","E",0,0,1,11,1,3,1,0,0,0,1,0,2,20,-34.0634,114.771,"20210311",NA,"South-west Corner","Yes"
"119","2021-03_West-Coast_BOSS","N",0,0,0,3,0,5,3,0,0,0,9,0,0,20,-34.0634,114.771,"20210311",NA,"South-west Corner","Yes"
"119","2021-03_West-Coast_BOSS","S",0,0,0,2,0,7,2,0,0,0,8,0,1,20,-34.0634,114.771,"20210311",NA,"South-west Corner","Yes"
"119","2021-03_West-Coast_BOSS","W",0,0,0,0,0,9,0,0,0,0,6,0,0,15,-34.0634,114.771,"20210311",NA,"South-west Corner","Yes"
"12","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,1,0,0,19,0,0,0,20,-33.5504,115.3959,"20210305",NA,"Geographe",""
"12","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,0,0,0,18,0,0,0,18,-33.5504,115.3959,"20210305",NA,"Geographe",""
"12","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,1,0,0,19,0,0,0,20,-33.5504,115.3959,"20210305",NA,"Geographe",""
"12","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,0,0,0,20,0,0,0,20,-33.5504,115.3959,"20210305",NA,"Geographe",""
"12","2021-03_West-Coast_BOSS","E",0,0,0,0,0,4,0,0,0,0,16,0,0,20,-34.0901,114.783,"20210310",NA,"South-west Corner","Yes"
"12","2021-03_West-Coast_BOSS","N",0,3,0,0,0,0,0,0,3,0,13,0,0,16,-34.0901,114.783,"20210310",NA,"South-west Corner","Yes"
"12","2021-03_West-Coast_BOSS","S",0,0,0,9,0,0,0,0,0,0,9,0,2,20,-34.0901,114.783,"20210310",NA,"South-west Corner","Yes"
"12","2021-03_West-Coast_BOSS","W",0,0,0,12,0,0,3,0,0,0,3,0,1,19,-34.0901,114.783,"20210310",NA,"South-west Corner","Yes"
"120","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,3,0,0,15,0,0,2,20,-33.5906,115.2584,"20210303",NA,"Geographe",""
"120","2021-03_Geographe_BOSS","N",0,0,0,1,0,0,6,0,0,13,0,0,1,21,-33.5906,115.2584,"20210303",NA,"Geographe",""
"120","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,6,0,0,5,0,0,9,20,-33.5906,115.2584,"20210303",NA,"Geographe",""
"120","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,2,0,0,16,0,0,2,20,-33.5906,115.2584,"20210303",NA,"Geographe",""
"120","2021-03_West-Coast_BOSS","E",0,0,0,0,0,0,14,0,0,3,1,0,1,19,-34.0617,114.861,"20210309",NA,"South-west Corner","Yes"
"120","2021-03_West-Coast_BOSS","N",0,0,0,2,0,0,13,0,0,2,0,0,2,19,-34.0617,114.861,"20210309",NA,"South-west Corner","Yes"
"120","2021-03_West-Coast_BOSS","S",0,0,0,0,0,0,16,0,0,1,1,0,1,19,-34.0617,114.861,"20210309",NA,"South-west Corner","Yes"
